Gene ID,log2FC,p-value,Significant
LCN12,-0.066617802,0.478469818,No
ZDHHC13,0.068511899,0.478558141,No
PKD2,0.088273267,0.478643859,No
ZNF155,-0.080464068,0.478731726,No
HYAL2,-0.081702036,0.478765163,No
ELP5,-0.076609273,0.478882734,No
SLIRP,0.088001402,0.478904595,No
RNASEK-C17orf49,0.07095307,0.479005797,No
TESMIN,-0.079449118,0.479098859,No
LEPR,0.080024393,0.479140488,No
TNPO3,0.083572812,0.479164451,No
ARF5,-0.086953605,0.479177569,No
ADCY8,0.086362098,0.479184559,No
SLC38A8,0.061225734,0.479192573,No
TARP,0.066646382,0.479196546,No
HGH1,-0.087335401,0.479460504,No
TOE1,-0.085887342,0.479804422,No
HERC3,-0.085321145,0.479846207,No
ZNF629,-0.080709939,0.479897539,No
FMNL2,0.087686063,0.480061966,No
ZNF649,0.086047116,0.480155295,No
MMAB,-0.083243925,0.480236937,No
HDAC2,-0.069163776,0.480276535,No
DGCR10,-0.078469684,0.480314589,No
TMEM182,0.088434844,0.480357126,No
LINC01061,0.073557019,0.480426288,No
GSTT2,0.074215965,0.480485512,No
TMC4,0.40634318,0.48056254,No
POLR3F,-0.081065582,0.480565146,No
SPATA33,-0.076545251,0.480675963,No
EHD4,0.08143023,0.480757268,No
MADCAM1,-0.087296525,0.480762624,No
WDR43,-0.060363754,0.480818439,No
POU6F1,0.07263056,0.480947266,No
VARS1,-0.084603704,0.480981221,No
SOGA1,-0.085888913,0.481091194,No
ZNF34,0.076792695,0.481115824,No
UNC45A,0.078816716,0.481180595,No
IGLV5-52,-0.08670881,0.481229175,No
HMGA1,0.076625688,0.481270838,No
EEFSEC,0.070272033,0.481273195,No
PAAF1,-0.085875035,0.481366343,No
IPO11-LRRC70,-0.072162434,0.481426555,No
KCNJ8,0.087016046,0.48201115,No
UQCRC1,-0.072868344,0.482014996,No
PRODH,0.067346991,0.482030646,No
MRPS25,-0.075235751,0.48220505,No
KIAA1755,0.077774061,0.482326264,No
LOC107985481,0.082403271,0.482368382,No
LINC00537,-0.086840451,0.482374361,No
ASMT,0.086578164,0.482393933,No
FKBP1A-SDCBP2,0.081962487,0.482596463,No
GAL3ST4,0.069468677,0.482676681,No
COG5,0.0729631,0.482733992,No
TSSC4,0.085011694,0.482787343,No
AP1S3,-0.087693245,0.482854504,No
FKBP3,-0.06881254,0.482873101,No
FGGY-DT,0.07856998,0.482904255,No
NBR1,0.068794492,0.482986009,No
TARS3,0.074115817,0.483128872,No
TADA2B,-0.075376839,0.48313792,No
SNAPC2,0.085573463,0.483188507,No
WNT2,-0.0635574,0.483272419,No
PLXNB3,-0.068756665,0.483358044,No
NUP205,0.073558957,0.483389888,No
KIAA0319,-0.086031883,0.483564808,No
ACER2,0.082083909,0.483608509,No
RRM1,0.082155609,0.48375648,No
C1orf21,-0.079371169,0.483816924,No
CPLX2,-0.082156708,0.484084324,No
DHPS,-0.070553785,0.484143691,No
WNT5B,-0.082553346,0.484221787,No
TUSC1,-0.070726293,0.484386215,No
RGL1,-0.086652637,0.484520275,No
ZNF503-AS2,-0.082205879,0.48459865,No
SSRP1,0.071762679,0.484728476,No
LOC102723512,0.07959599,0.484781851,No
NIPA2,-0.077601848,0.484843217,No
LOC107985361,0.085993535,0.484870485,No
MS4A8,-0.059266313,0.484888957,No
TMEM91,0.080487177,0.484963982,No
STK10,0.086717916,0.485012154,No
COX5A,0.067842644,0.485267155,No
ZNF546,0.085373397,0.485331318,No
MIR3605,-0.086390601,0.485703623,No
USP51,0.079667784,0.48594314,No
ZNF503,-0.086436032,0.486017366,No
LOC102723630,0.035530231,0.486253081,No
MATCAP2,-0.086510755,0.486278914,No
CLXN,-0.071951238,0.486286025,No
ABRAXAS2,-0.074285644,0.486316083,No
DAG1,0.086059778,0.486450206,No
REXO1,-0.083677997,0.486481819,No
YKT6,0.079270793,0.486595973,No
ARRDC1-AS1,0.086015919,0.486735159,No
FBXO27,-0.082200995,0.487118904,No
PALD1,-0.085133113,0.487197647,No
NOP56,0.081535459,0.487253466,No
ANKRD36,-0.084810039,0.487422078,No
LINC01727,0.050913795,0.487470406,No
PRDX3,0.068855483,0.487511349,No
ARL6IP5,-0.078396433,0.487591071,No
GAS6-AS1,-0.086414977,0.48762599,No
PRH1-TAS2R14,-0.08317219,0.487793256,No
B4GALT7,-0.071719729,0.488044408,No
MZF1,0.084549975,0.488061895,No
NPR2,-0.076679125,0.488131276,No
NIN,0.079431838,0.488292709,No
CDK12,0.07877709,0.488327332,No
NELFA,0.082262694,0.48848883,No
POLR1G,0.072293006,0.488833161,No
LOC105378512,-0.084800966,0.488882769,No
AKIRIN1,-0.069879798,0.489315623,No
ACSS2,-0.080599974,0.489447252,No
FGFR1OP2,-0.083654418,0.489512425,No
SLC6A8,0.083512429,0.489537522,No
VPS33B,-0.083712026,0.489688302,No
C1RL,0.086234544,0.489778531,No
RCN2,-0.085130709,0.489934917,No
MAPK14,-0.079347551,0.490070096,No
ACYP1,0.075097493,0.4900834,No
THAP7-AS1,0.085654791,0.490357481,No
LINC00506,-0.082666149,0.490453056,No
GATD1,-0.085815149,0.490544807,No
RNASEK,0.067553826,0.490546953,No
DRD1,-0.081596813,0.490598743,No
APLP2,0.074230774,0.490610667,No
RWDD2A,-0.083302019,0.490768843,No
GSTT2B,0.071588905,0.490930076,No
POLR2I,0.085726016,0.490943809,No
CCDC12,0.067682344,0.490996952,No
CCDC18-AS1,0.085214622,0.491024459,No
SON,0.069690576,0.491298571,No
ZFP30,-0.076609813,0.491304109,No
MRPL45,0.074013832,0.491475984,No
SMAD7,-0.071073711,0.491483345,No
GJD2-DT,-0.070330282,0.4915691,No
MRPL38,0.066127127,0.491730087,No
MAP2K2,0.065752674,0.491907299,No
ATXN1L,-0.067508246,0.492079937,No
NEIL1,-0.084203382,0.492091702,No
NINL,0.085060625,0.492266412,No
BMP2K,0.085233986,0.49229285,No
HSBP1,0.05932737,0.492418706,No
VAC14,0.058521169,0.492450626,No
PSMC4,-0.059559897,0.492664561,No
XXYLT1,-0.084145365,0.49270548,No
EGFL8,-0.079690344,0.492718067,No
ANKLE2,-0.059408272,0.492786536,No
CEP162,-0.082688422,0.49283645,No
MAGED1,-0.083447079,0.492843601,No
CPNE2,0.084712644,0.492877274,No
CALHM6,-0.081135334,0.493103455,No
MMAA,-0.079985698,0.49311056,No
GLI3,0.066466467,0.493178676,No
CHRFAM7A,-0.074833106,0.493203634,No
SAMD1,0.084244426,0.493360803,No
GLMP,0.075556487,0.493407369,No
CENPX,0.084746462,0.493423268,No
LOC101930421,0.050137723,0.493787168,No
LNP1,-0.084051395,0.493817143,No
SPRYD4,-0.078242991,0.49387596,No
TREH,-0.065956884,0.493930908,No
ACD,0.075268907,0.494105816,No
MIR922,-0.083676531,0.494110431,No
AQP6,-0.062492394,0.494216088,No
COPS7B,-0.05846151,0.494249368,No
SMARCA5-AS1,0.08334053,0.494411135,No
SLC26A2,0.070231896,0.494450095,No
DSTN,0.07359364,0.494452558,No
LIG1,-0.078687839,0.494468428,No
ZPR1,-0.074713776,0.494600995,No
TC2N,-0.074400518,0.494605539,No
SETDB2,0.07651389,0.494742893,No
TMEM178A,-0.077253677,0.494921593,No
MPC1,0.085110207,0.495097362,No
DNAJB7,0.084708458,0.495264134,No
SPATA20,0.084648969,0.495285368,No
DPH3P1,0.076938833,0.495466082,No
GRIN2C,0.06688151,0.495569859,No
AASDH,0.080384465,0.495851393,No
HS3ST4,0.079961543,0.495862825,No
PRDX5,0.07236752,0.495978957,No
ALG12,0.08185214,0.496004081,No
LAMC2,0.055764597,0.49614875,No
ARHGAP27,0.082125549,0.496394084,No
KIAA0930,0.080956264,0.496517545,No
TRMT13,0.083915341,0.496586901,No
RNF214,-0.061302047,0.496714066,No
MMP23B,0.083776093,0.496789256,No
ANKRD13D,-0.066822775,0.497427074,No
ANKRD42,-0.082678625,0.497741421,No
PDZD11,0.07380026,0.498038997,No
MIR3940,0.084744367,0.498168794,No
CCDC57,0.083912052,0.498395983,No
POLR2J4,0.079381439,0.498506788,No
SPTAN1,-0.083598889,0.498536082,No
ATP2A3,-0.078532473,0.498749315,No
IKBIP,-0.083353511,0.498817172,No
MIR31HG,0.073164109,0.498878119,No
CDK13-DT,-0.081034978,0.498945225,No
DOCK11,0.082005288,0.49906777,No
AQR,0.057407745,0.499156713,No
NUP210,-0.083291293,0.499226201,No
SCGB2B2,-0.074783052,0.499299239,No
ZNF559-ZNF177,0.075949236,0.499376106,No
KDM4C,0.070876892,0.499407955,No
TXNDC11,-0.072751941,0.499447292,No
COPS5,-0.063213321,0.4994546,No
ZRSR2,0.064746285,0.499835052,No
TRNH,-0.063551637,0.500033119,No
LINC03009,0.073575463,0.500080643,No
EIF1AX,-0.072181406,0.500116614,No
CCDC171,-0.083326903,0.500210258,No
PLEKHM1,0.079045013,0.500305312,No
KLF12,0.083365992,0.500373721,No
MAPK8IP1P2,-0.072414993,0.500519128,No
VAX2,0.070802092,0.500574346,No
TRMT2A,-0.068234995,0.500654344,No
SETD1B,-0.07268161,0.50074637,No
CSRNP1,0.082267227,0.500918187,No
C14orf93,0.080621328,0.50092188,No
LAMA4,0.083279149,0.500953824,No
ANO2,-0.077183113,0.501041022,No
GPBP1L1,-0.053746617,0.50106386,No
SS18L2,0.07135924,0.501152085,No
XPO7,-0.073967316,0.501433804,No
PIK3C2A,0.076310782,0.501467664,No
SOX11,-0.082570658,0.501533483,No
LZTS2,-0.081485312,0.501582196,No
ETV1,0.072311234,0.501648491,No
EZH1,-0.072931959,0.50165998,No
ATP6V0C,-0.076291862,0.501719928,No
FAM27B,0.077849948,0.50173828,No
PRLHR,-0.063475362,0.501798606,No
MRPS22,0.055794822,0.50186466,No
COG7,0.055099297,0.502088295,No
CCDC125,0.082483235,0.502168417,No
LOC100505874,0.039170963,0.502265909,No
NAT8L,-0.068546476,0.5023484,No
LOC105375228,-0.075918932,0.502495611,No
CAMSAP1-DT,-0.071169446,0.502540116,No
NRG2,0.077345117,0.502644767,No
LOC101927864,0.082151816,0.502663114,No
TFAM,-0.054854303,0.50271838,No
CD46,-0.068323651,0.502752585,No
KLC4-AS1,0.081703522,0.502838602,No
LOC105374800,-0.070524981,0.502884571,No
LOC105370062,-0.078133762,0.502890711,No
GTPBP4,-0.07188657,0.502994836,No
ZNF821,0.066494031,0.503004896,No
PLCB3,0.074129142,0.503006332,No
GEMIN2,0.080452519,0.503006697,No
GRTP1,0.078443266,0.503075021,No
BCDIN3D,0.071542109,0.503161546,No
PARVB,-0.081611618,0.503261245,No
SLC16A11,-0.074946712,0.503295414,No
ERN1,0.081673333,0.503389702,No
KLRC3,-0.066658664,0.503619757,No
TMIE,0.501222942,0.503678422,No
ZNF44,0.074651335,0.50368976,No
NDRG2,0.065821234,0.503697868,No
LEFTY1,0.081487179,0.50371254,No
CYC1,0.06272996,0.503886541,No
LOC105379082,-0.077817177,0.504038073,No
GAD1,-0.070090241,0.504056548,No
ANKRD13A,-0.081853398,0.504249701,No
TBPL1,-0.067166661,0.504317806,No
DCTPP1,-0.078902617,0.504567001,No
FAM104A,-0.071392573,0.504663828,No
CDK5RAP1,-0.082728419,0.505090201,No
ACBD4,0.080536501,0.505256744,No
TMEM256,0.082525059,0.505331761,No
LPCAT1,-0.051535126,0.505333916,No
FNBP1,0.081667603,0.505488569,No
APOL2,0.073967071,0.505544484,No
MPL,-0.082861034,0.505551496,No
UBA6-DT,0.075975152,0.505693826,No
NRXN2-AS1,-0.074015093,0.505860514,No
PNMA2,-0.076544386,0.50597442,No
INPPL1,0.079558446,0.506373963,No
PEX11G,-0.069602011,0.506484782,No
RIPOR1,-0.061509507,0.506510042,No
TMEM65,-0.08088434,0.506725691,No
SNHG12,0.080974729,0.506744726,No
IKZF4,-0.07779528,0.50690262,No
TP53I3,0.077867576,0.506911868,No
GUCA1B,0.075498767,0.507010902,No
TEX50,0.080532706,0.507019207,No
MBTD1,-0.081688636,0.507066907,No
SLC2A1,-0.072577375,0.507070869,No
MSANTD1,-0.071654062,0.507080253,No
SCARF1,0.078601679,0.507093693,No
ZNF611,-0.082358641,0.50713497,No
TBC1D8,-0.0810304,0.507137345,No
RESF1,0.069571852,0.507163147,No
TEKTIP1,-0.075315399,0.507228267,No
ZFX,0.067170873,0.507466732,No
NKIRAS2,0.082354841,0.507596242,No
LOC105369477,0.075295536,0.508051226,No
PCF11,-0.072086008,0.50827049,No
LOC107986760,0.066232686,0.508283967,No
PIPSL,-0.082109149,0.508632039,No
RAI14,0.079344776,0.508820866,No
IFIT2,0.081183181,0.508828687,No
SEMA4G,0.081756238,0.509043108,No
DOCK1,0.075519421,0.509172581,No
LRRC3B,0.073967207,0.509265117,No
CHADL,-0.075515249,0.509279698,No
COA6,0.080557229,0.50930626,No
EVC,-0.062834258,0.509409728,No
ZNF234,0.081463488,0.509677308,No
GPATCH1,-0.074599714,0.509686296,No
LOC100996660,0.079659891,0.510043199,No
PGS1,0.074992176,0.510069186,No
OSBPL6,-0.07350806,0.510097149,No
CILP2,-0.078347272,0.510190617,No
ZDHHC20,-0.081520628,0.510314286,No
LOC100422781,0.078192865,0.510330741,No
TPM4,0.080195206,0.510515536,No
HINT2,-0.081298552,0.510533483,No
PACS2,0.07540851,0.510534657,No
HEXIM1,-0.082915075,0.51113943,No
ADA,0.063055796,0.511163822,No
SCO1,0.073779833,0.51130922,No
GCAT,0.081622375,0.511367913,No
ZNF544,-0.075730423,0.511388363,No
HADHB,0.071283452,0.511478608,No
SERTAD1,0.063258356,0.511534258,No
ZNF526,0.063743135,0.511557334,No
LOC107987181,-0.079817751,0.511593205,No
HYAL1,0.07117011,0.511679006,No
GDAP1,-0.07508556,0.511722173,No
PMAIP1,0.067388486,0.511764808,No
C4orf46,0.081577686,0.511991646,No
TMEM168,0.080780328,0.512026564,No
HMGCL,0.081402338,0.512233913,No
SENP3,0.062064931,0.512373541,No
MMP14,0.07610347,0.512390875,No
PEX7,0.07012916,0.512395824,No
SLC38A4-AS1,0.068930891,0.512508041,No
ZNF8,0.078470672,0.512509719,No
TOX4,0.064699869,0.512525398,No
TYSND1,-0.073896459,0.512594738,No
DNAI7,0.081016713,0.512674344,No
MARCHF2,0.081378523,0.512686712,No
IGSF11,0.079934676,0.512763457,No
ENTREP3,0.069008694,0.512781563,No
LCMT1,-0.073826169,0.512903996,No
IDS,0.05821079,0.512949175,No
RPH3AL,-0.078469887,0.513148111,No
EP400P1,-0.078142167,0.513299573,No
ZNF511,0.079041193,0.513525875,No
MRI1,-0.0799115,0.513580987,No
XRCC5,0.073956348,0.513689778,No
FAM131B-AS2,0.080329347,0.513877867,No
TPM1,-0.080087605,0.514203256,No
BSCL2,-0.078636054,0.514455464,No
RILP,-0.080348783,0.514518918,No
SLC43A2,0.080296728,0.514587534,No
TMEM33,-0.063721785,0.514646143,No
PEDS1-UBE2V1,-0.053434642,0.514963801,No
ZNF843,-0.080826647,0.514980272,No
FYTTD1,-0.060652047,0.515231532,No
PDE9A,0.07708913,0.515334464,No
ELOVL7,0.079119077,0.515395276,No
NFATC2IP,-0.07735914,0.515452781,No
GGTA1,0.07270218,0.515479601,No
KPNA4,0.053572601,0.515627912,No
SEC22A,-0.079061643,0.515725719,No
NKAIN3-IT1,0.062937969,0.51576459,No
RNU6-2,0.069488333,0.515813844,No
PACRG,0.075741791,0.515853652,No
SLN,0.059017034,0.515967914,No
MSANTD2,0.079721084,0.515990141,No
NDUFB1,0.078934445,0.516234593,No
TUBB,0.07216208,0.516536716,No
COMMD7,0.079895092,0.516607896,No
RSRC1,-0.075404393,0.516741379,No
GHDC,0.064151631,0.516743849,No
ZNF687,0.071786818,0.516819583,No
FBXO21,0.078892719,0.517058735,No
NOL12,0.079786485,0.517117746,No
ENTPD3-AS1,-0.078091562,0.517294563,No
PSMD9,0.074943093,0.517422645,No
NFU1,0.064069715,0.517450279,No
IFFO2,-0.077411988,0.517523999,No
TLK2,-0.059159476,0.517665024,No
MIR1184-2,-0.078697905,0.517703644,No
ND4,0.053287223,0.517704942,No
LINC02928,0.078686638,0.517725864,No
LRRC47,-0.071927982,0.517775005,No
KRIT1,-0.074943026,0.517800563,No
MMP17,-0.077514251,0.518134175,No
RGS20,0.074511348,0.518200738,No
TBC1D17,0.062875649,0.518231109,No
LMO7-AS1,0.077476053,0.518271782,No
VPS37A,-0.074890207,0.518331312,No
MORF4L2-AS1,0.080149404,0.518514977,No
H2BC12,-0.079721626,0.518611791,No
ZNF524,0.079247924,0.518838078,No
EMC6,0.078918429,0.518958095,No
FAM169A,-0.079571291,0.519067776,No
TRIM66,-0.069152562,0.519124803,No
RABL2A,-0.079055462,0.51926335,No
LOC400622,-0.078320364,0.51933761,No
MAMLD1,0.067348138,0.519635773,No
FUT8,-0.069282933,0.51977172,No
LOC284412,-0.064341035,0.519777916,No
LOC112268179,0.077425882,0.519865827,No
CD9,-0.064482461,0.519898992,No
QTRT2,-0.075489983,0.520026995,No
SLC7A10,0.06748977,0.520043811,No
SLC29A2,-0.078190471,0.5201437,No
ATP5F1A,-0.065941854,0.520442917,No
EPM2A,-0.077668007,0.52048922,No
SCUBE2,0.070334811,0.520811088,No
ZFAND1,0.077237559,0.520954148,No
APEX2,0.06711332,0.521057271,No
ZNF496-DT,-0.0795079,0.521167578,No
DPYS,0.074194484,0.521235284,No
CRIM1-DT,0.070815868,0.52125204,No
LCP2,0.07535102,0.52126224,No
ZBTB11,-0.079253592,0.52130815,No
C1orf35,0.079031739,0.521733555,No
HDGFL3,-0.060079841,0.521881071,No
SURF4,0.055856502,0.521914025,No
TXNL4A,-0.064159359,0.522038115,No
SNX11,0.060805019,0.522042957,No
MYH9,0.077369672,0.522064785,No
CLEC4GP1,-0.06421666,0.522089103,No
ITSN1,0.075639962,0.522179813,No
ARFIP1,0.075003897,0.52221709,No
BLOC1S3,-0.063764441,0.52228049,No
THOP1,0.070207436,0.522366645,No
OSTM1,-0.065468161,0.522422533,No
RIOX1,-0.079143558,0.522638644,No
ERMP1,0.071119915,0.522738429,No
FOXK1,0.075008492,0.522970793,No
PKM,-0.066202452,0.523216362,No
TFEB,0.06851254,0.523322818,No
IER5L,0.078716045,0.523664579,No
LOC100506851,-0.078990057,0.523695355,No
ZNF138,-0.075272684,0.523846548,No
DNHD1,-0.077483381,0.52385423,No
TRIM69,0.078876904,0.524024957,No
BBS12,-0.07813424,0.524156491,No
ATP8,0.05305968,0.52415675,No
CSPP1,-0.076703752,0.524184126,No
ABHD8,0.074978007,0.52420321,No
FAM240C,-0.063166519,0.524246289,No
KLHL13,0.079273448,0.524258222,No
ST8SIA4,-0.078431746,0.524371937,No
ZNF280B,-0.07852017,0.524471988,No
DOC2B,0.080494035,0.524490856,No
DLG5,0.074701223,0.524562406,No
EIF2D,0.078612143,0.524567543,No
DMRTC1,0.074568888,0.524669599,No
GRHPR,0.065526586,0.524769874,No
MAGOH-DT,-0.077156619,0.525137089,No
N4BP2L2,-0.051390034,0.525268581,No
LINC02993,0.064682807,0.525303016,No
LOC101928841,-0.068288449,0.525304369,No
CFAP126,0.075703225,0.525331126,No
RNF32,0.078206388,0.525395533,No
CTIF,-0.057230153,0.525429792,No
INO80B,0.059260818,0.525581692,No
MEG8,0.073147371,0.525609218,No
GNPDA1,0.063340507,0.525724964,No
ARMCX1,-0.060452662,0.525840908,No
LRP12,-0.077053667,0.525859094,No
LONRF1,0.060447515,0.525895862,No
PCBP3,0.078135605,0.525924468,No
IL33,0.065123115,0.525995546,No
PRKAG2-AS1,-0.078130673,0.526006993,No
LOC105371870,0.066710776,0.526088959,No
PSMA6,0.069319151,0.526150439,No
MPHOSPH10,-0.056314715,0.52616212,No
SEC31A,0.058233348,0.526181152,No
ZNF142,-0.058170912,0.526214963,No
LYRM9,-0.075274323,0.526221662,No
MPP1,-0.07480606,0.526312141,No
TMEM187,0.078572016,0.526348789,No
SAMD11,0.072645279,0.526445419,No
ELL,0.052217555,0.52657024,No
QARS1,-0.072536966,0.526570563,No
ARMT1,-0.069669521,0.526695602,No
GCNT2,-0.077882854,0.52691793,No
PSIP1,-0.076302011,0.52711157,No
GHRLOS,-0.076021347,0.527155126,No
ZNF718,-0.076548516,0.527248831,No
LOC101928762,0.060127197,0.527389463,No
TMUB1,0.077105159,0.527454825,No
NUDT10,-0.074908315,0.52756174,No
RNA28SN3,0.062411784,0.527702316,No
GGT5,0.070384763,0.527857948,No
PTK6,0.05553591,0.528238877,No
FZD5,0.077674838,0.52830213,No
NUP54,-0.069067155,0.528309213,No
DUSP28,0.07000623,0.52853806,No
AP4M1,0.066527104,0.528812356,No
RNF5,0.069060242,0.528837062,No
ACADVL,0.076468183,0.528883137,No
FBXL19,-0.072266684,0.528906781,No
ENDOD1,-0.076841403,0.528961304,No
ANXA11,0.078332041,0.529046152,No
SUZ12,-0.061455505,0.529060866,No
LOC105371998,-0.068324275,0.529409962,No
ZNF717,0.070798758,0.529680727,No
SRR,0.053760233,0.529934286,No
PSTK,0.077430249,0.530225942,No
RNA28SN2,0.057799448,0.530409183,No
ERCC8,0.070763968,0.530425651,No
MEGF9,-0.073243149,0.53062461,No
FBRS,0.073690943,0.530742718,No
LINC02433,-0.059773672,0.530764992,No
AHCY,0.070983808,0.530823048,No
SEC23B,0.051331203,0.530913501,No
ADAT3,0.074523737,0.53094913,No
PNPLA6,-0.059609519,0.531248057,No
C8orf33,0.071691346,0.531342668,No
RANBP17,0.075799807,0.531540244,No
VPS9D1,-0.060443916,0.531636836,No
UBE2Q1-AS1,-0.075719314,0.531788383,No
ATP6V1E1,-0.08233622,0.531856137,No
NRDE2,-0.041275488,0.531872611,No
GPNMB,-0.052764583,0.531928528,No
MMEL1,0.075619141,0.531977781,No
DRD5,-0.071007046,0.531987015,No
GFOD2,-0.070916513,0.532041703,No
NUP155,-0.071435264,0.532059073,No
MIR5047,0.062764614,0.53211274,No
VCPIP1,-0.072636184,0.532121152,No
CNOT1,-0.075533609,0.532128777,No
SETX,-0.07356048,0.532235769,No
AHCTF1P1,0.075990687,0.53225656,No
YARS1,0.077320733,0.532281354,No
ZBTB11-AS1,-0.076251798,0.532685859,No
LYVE1,0.059991616,0.532714052,No
SCAMP4,0.077297167,0.532920756,No
NSG1,0.072175147,0.532944565,No
SUGT1P4-STRA6LP-CCDC180,-0.076763119,0.532966292,No
ZNF888,0.077455353,0.533317804,No
NEPRO-AS1,0.07702503,0.53348009,No
ZNF592,-0.047357958,0.533483936,No
EIF6,0.058960784,0.533575505,No
FAR2P2,-0.068086864,0.533696936,No
MAPRE3,-0.069381928,0.533749257,No
HEATR6,-0.0685164,0.533807613,No
MRPL48,0.071374387,0.53385901,No
BCORL1,-0.076628536,0.534036066,No
OAZ1,0.067360409,0.534223942,No
LOC100129931,0.069871207,0.53433496,No
USP49,0.06147668,0.534424572,No
HNRNPUL2,-0.040402356,0.534438469,No
CMKLR1,-0.06823862,0.534552963,No
RORA,0.075514632,0.534582855,No
HNRNPK,0.060706324,0.534838733,No
CEBPZOS,-0.05371588,0.534998943,No
ZNF266,-0.057465848,0.535008547,No
COPG2IT1,-0.07560806,0.535229163,No
MRM2,0.0555582,0.535239052,No
LRRC58,0.076224846,0.535307443,No
TRPM4,0.07628255,0.535863793,No
LUC7L,0.076762851,0.535995049,No
FAM131B-AS1,0.075999739,0.536191613,No
C2orf72,-0.069618684,0.536218827,No
ST7-AS2,0.075743644,0.536234457,No
CENPS,-0.074495925,0.536304299,No
POM121L10P,0.074800231,0.536418925,No
DTNB-AS1,-0.072884454,0.536472106,No
PNISR,0.064914456,0.536486842,No
EHMT2-AS1,0.06162444,0.536538021,No
TAX1BP1,-0.060465551,0.536700523,No
RASA4B,-0.075439821,0.536848124,No
WDR18,-0.075320983,0.537155204,No
PGK1,-0.079562327,0.537344615,No
SNX22,0.075803533,0.537387092,No
AZIN1,-0.073343236,0.537422942,No
ZNF780A,0.067099097,0.5375291,No
NME2,0.074455207,0.537529379,No
IER3-AS1,0.074805088,0.537540195,No
LINC02908,0.074410163,0.537814684,No
TNPO2,0.058692286,0.537890698,No
RBM27,0.060720025,0.538055922,No
EPAS1,0.072663873,0.538078955,No
LOC102724751,0.073828614,0.538311155,No
NOC2L,-0.063277529,0.538350243,No
ADCYAP1,-0.056015723,0.538400839,No
SMYD1,-0.051863558,0.538435525,No
HNRNPR,0.052766272,0.538521221,No
LINC01990,-0.072969753,0.53855831,No
HINFP,0.064134525,0.538835414,No
IGSF9B,-0.064641072,0.53893687,No
PRR3,0.072005528,0.538944853,No
PELI1,0.06979428,0.538958596,No
CBX8,-0.075508203,0.539112655,No
RBBP5,-0.075725634,0.539142822,No
WFDC1,-0.0754651,0.539170459,No
ZNF517,-0.067539757,0.539229196,No
DTD1,-0.069003208,0.53929328,No
HNRNPUL2-BSCL2,-0.069004599,0.539683035,No
ZNF140,0.052110933,0.539730106,No
OGDH,0.053796973,0.539732166,No
CBLN3,0.065453001,0.539811988,No
ARPC3,-0.061316863,0.540024289,No
THADA,0.072415128,0.540042059,No
CERS5,0.074117875,0.540087149,No
SPAG8,-0.072614791,0.540150686,No
LOC102723944,0.060285405,0.540166487,No
TP53INP1,0.066535225,0.540210102,No
FCSK,0.075293671,0.54023056,No
BHLHE22-AS1,-0.057506584,0.540270504,No
CFAP20DC-AS1,0.064834748,0.540460724,No
PPP1R1A,-0.075712669,0.540500376,No
C22orf46P,0.075864572,0.540514477,No
ERICH6-AS1,-0.073838302,0.54069372,No
PID1,-0.071302031,0.540778003,No
ZNF473CR,-0.074666514,0.540778153,No
RTL8C,0.059834157,0.540987651,No
PHACTR3,-0.069823147,0.541074733,No
CCNG2,-0.069848134,0.541477862,No
LINC02427,-0.07003497,0.541614651,No
DNAJC24,-0.056418055,0.541637376,No
DNAH1,-0.069678856,0.541791259,No
MPZL1,0.073914275,0.541833837,No
MLST8,-0.061934559,0.542088883,No
GPR199P,0.059161037,0.542453343,No
STIMATE-MUSTN1,-0.071988552,0.542590473,No
NIP7,-0.066643436,0.542598045,No
FLVCR1-DT,-0.070984474,0.542618015,No
ZMIZ1,0.05312235,0.542681612,No
RILPL1,0.066677794,0.542681982,No
RC3H2,-0.07192487,0.542907225,No
CRCP,0.055004221,0.54309291,No
RBM25-AS1,0.075118746,0.543133217,No
TRAM1L1,-0.075362636,0.54315894,No
CYP3A5,-0.074982764,0.543245246,No
MITD1,-0.069609457,0.543435793,No
CPEB3,-0.073116537,0.543462288,No
MX2,-0.074769772,0.543702386,No
IER2,-0.070762771,0.543793228,No
LOC102724351,-0.071605821,0.543969938,No
TNFAIP8L3,-0.074117159,0.543984692,No
ATP7B,0.068355355,0.544054425,No
ZNF552,-0.073251144,0.544095401,No
RARS2,-0.064481417,0.544161689,No
MIOS,0.062182536,0.544293106,No
RTN4IP1,-0.072686368,0.544394709,No
RSL1D1,0.052274269,0.54446165,No
SIRT3,0.049353705,0.5445748,No
LOC729218,0.075022171,0.544623628,No
SOX21,0.061082402,0.544751244,No
ZRANB2,-0.067612137,0.54506799,No
WNT4,-0.069590345,0.5455214,No
KDM4D,-0.067356764,0.545607067,No
HMSD,-0.063424814,0.545665933,No
SSBP2,-0.073589977,0.545683457,No
SERPINB9,-0.066611939,0.545719137,No
ZNF268,0.067291735,0.545729441,No
ZSCAN23,-0.074135255,0.54590443,No
METTL26,0.072968797,0.54607349,No
TBL3,-0.068631984,0.546297383,No
DNAJC19,0.053588553,0.546418695,No
ZNF398,-0.073866612,0.546428268,No
TUBA3FP,0.071907537,0.5465888,No
CYP17A1-AS1,0.060283148,0.546590581,No
TFPT,-0.074103793,0.546654832,No
SPINT2,-0.071908642,0.546728373,No
UPP2,0.07325546,0.54678718,No
TMEM175,-0.069849874,0.546922407,No
AOX1,-0.074057657,0.546944389,No
